student_id,user_answer,x,y
1,2,2,2
1,2,4,3
2,4,2,4
2,3,1,2
5,2,4,1
5,4,3,1
4,1,4,3
4,2,4,4
14,4,3,3
14,1,1,4
15,3,1,1
15,1,1,3
22,4,2,1
22,3,3,2
7,4,3,4
7,4,2,2
11,3,2,3
11,3,4,2
8,1,1,2
8,4,1,1
12,1,3,1
12,1,2,4
16,1,1,4
16,3,4,1
26,2,2,1
26,1,1,3
23,3,2,3
23,2,4,2
28,3,4,4
28,4,3,3
30,2,3,4
30,2,4,1
3,2,3,2
3,3,1,1
6,4,2,2
6,2,3,3
9,1,2,3
9,2,4,3
10,1,1,1
10,1,4,4
13,3,2,3
13,1,3,3
17,2,4,4
17,4,3,2
18,1,4,3
18,4,1,1
19,4,2,4
19,1,3,4
20,2,2,1
20,1,4,1
21,1,3,1
21,3,4,4
24,2,3,1
24,3,2,2
25,4,1,3
25,2,2,3
27,4,1,1
27,4,2,1
29,3,2,4
29,3,4,2
31,3,3,3
31,4,2,1
32,4,3,1
32,1,2,2
33,3,1,4
33,2,3,1
34,1,3,3
34,1,1,1
35,2,4,2
35,2,2,3
36,3,1,3
36,3,3,3
37,2,2,2
37,3,4,4
38,4,1,4
38,3,3,2
39,1,4,1
39,1,1,1
40,4,3,1
40,4,2,3
41,2,1,4
41,3,4,1
42,3,3,4
42,3,2,1
43,4,4,2
43,4,2,1
44,3,1,1
44,2,3,1
45,4,2,4
45,3,1,3
46,1,2,4
46,1,1,2
47,2,4,2
47,4,3,3
48,3,1,4
48,4,3,1
49,2,1,2
49,1,2,2
50,4,4,2
50,1,3,4
51,3,2,1
51,1,,
52,4,,
52,4,,
53,3,,
53,1,,
54,2,,
54,2,,
55,1,,
55,3,,
56,2,,
56,3,,
61,1,,
61,1,,
57,2,,
57,1,,
58,2,,
58,4,,
59,4,,
59,2,,
60,3,,
60,3,,
62,2,,
62,1,,
63,3,,
63,1,,
64,2,,
64,2,,
65,1,,
65,4,,
66,3,,
66,1,,
67,3,,
67,3,,
68,1,,
68,1,,
69,4,,
69,2,,
70,2,,
70,3,,
71,1,,
71,3,,
72,3,,
72,3,,
73,2,,
73,2,,
74,4,,
74,4,,
75,1,,
75,4,,
76,3,,
76,2,,
77,4,,
77,1,,
78,1,,
78,1,,
79,3,,
79,1,,
80,2,,
80,3,,
81,1,,
81,4,,
82,4,,
82,1,,
83,3,,
83,4,,
84,2,,
84,1,,
85,4,,
85,2,,
86,2,,
86,1,,
87,1,,
87,1,,
88,3,,
88,1,,
89,2,,
89,4,,
90,1,,
90,3,,
91,2,,
91,4,,
92,1,,
92,2,,
93,4,,
93,2,,
94,3,,
94,3,,
101,1,,
101,4,,
95,3,,
95,1,,
96,1,,
96,2,,
97,2,,
97,2,,
98,4,,
98,2,,
99,3,,
99,4,,
100,2,,
100,1,,
